GitHub Copilot Tool Curriculum  |    Challenge: UAT Code Protection Built-In,,,,,,,,
Module,Module Title, ADLC Phase,Key Topics,Hands-On Labs,Learning Outcomes,UAT/Code Quality Gate,Challenge Response Note,Type
M1,ADLC Mindset & AI-Assisted Development,Problem Definition,  What is ADLC —  phases vs traditional SDLC,  Map ADLC phases to a real development workflow,  Understand  ADLC 6-phase framework,"Gate: Before any Copilot session, developer writes an AI Scope Statement (what files are in scope; what is UAT-locked). Reviewed by lead.",P6 → P1 feedback loop: Lessons from production incidents (CoP KB) feed back into scope-definition training here.,Lecture / Discussion
,,,  Where Copilot fits across all 6 ADLC phases,  Identify AI touchpoints and risk zones in each phase,  Recognise where AI tools introduce regression risk,,,
,,,"  Productivity opportunities AND risks (regression, UAT breach, hallucination)",  Draft an 'AI scope' statement for a sample task ticket,  Define scope constraints before using Copilot,,,
,,,  Defining AI scope per task: what Copilot CAN and CANNOT modify,,,,,
,,,  Introduction to UAT-protection mindset,,,,,
M2,GitHub Copilot Foundations,Model Development,"  Copilot architecture, supported IDEs, licensing",  Install Copilot in IDE; configure settings,  Set up Copilot correctly in enterprise IDE,Gate: copilot-instructions.md must include NEVER_MODIFY list of UAT-locked modules before any code generation session.,Direct fix for Challenge: copilot-instructions.md is the primary mechanism to prevent Copilot from touching UAT-locked code.,Demo / Lab
,,,"  Interfaces: inline completions, Copilot Chat, GitHub.com, CLI",  Write a copilot-instructions.md that lists UAT-locked files,  Encode project constraints in copilot-instructions.md,,,
,,,  Copilot in VS Code / JetBrains — setup & inline suggestions,  Explore interfaces and observe how instructions change suggestions,  Understand Copilot's context — and its limits,,,
,,,  Understanding context window: what Copilot sees,,,,,
,,,  copilot-instructions.md: how to encode project constraints,,,,,
M3,Prompting for Code Generation, Problem Definition,"  Writing effective, scope-bounded prompts","  Generate functions, APIs, data processing logic using scope-bounded prompts","  Write reproducible, scope-safe prompts","Gate: Prompt Review Checklist — does the prompt specify: (1) what to build, (2) what NOT to touch, (3) test requirements? Checked before generating.",P1 prevention: A well-scoped prompt is the first line of defence against AI-induced UAT regression.,Lab
,,,"  Prompt engineering: context-rich, task-specific, constraint-explicit",  Compare weak vs strong prompts — identify which invite unintended refactoring,  Identify prompt anti-patterns that lead to regression,,,
,,,  Using comments as prompts,  Lab: rewrite 5 'dangerous' prompts to include explicit scope constraints,  Reduce unintended code modification rate,,,
,,,  Prompt anatomy: task + scope + constraint + format,,,,,
,,,  Red flags in prompts that invite UAT regression,,,,,
